fitness_level,fitness_goals,name,target_muscle,difficulty,equipment,gif,time,reps,circuits,circuits_rest,exercises_rest,weight
intermediate,musclegain,Отжимания,Плечи,Средний,Нет,https://media1.tenor.com/m/W83bPDWTkawAAAAC/pushup-body-weight-training.gif,,10,2,180,20,
intermediate,musclegain,Обратные отжимания,Плечи,Средний,Другое,https://image.posta.com.tr/i/posta/75/750x0/6196106545d2a07ffcafe682.jpg,,12,2,180,20,
intermediate,musclegain,Ножницы,Пресс,Средний,Нет,https://avatars.mds.yandex.net/get-pdb/1004345/1f718112-ebdf-430e-b54e-999e8dbf948f/orig,20,,2,180,20,
intermediate,musclegain,Перекрестные скручивания,Пресс,Средний,Нет,https://avatars.mds.yandex.net/i?id=5f56969fb873aefee1ec8b8f189e2afd40dc3052-6450036-images-thumbs&n=13,,20,2,180,20,
intermediate,musclegain,Планка с вытягиванием рук,Пресс,Средний,Нет,https://i.pinimg.com/originals/01/28/2b/01282b221aeab9061cd1bf56101deb98.gif,30,,2,180,20,
intermediate,musclegain,Лодочка,Спина,Начальный,Нет,https://media1.tenor.com/m/BpWq8HxUxeAAAAAC/lumbaresms.gif,,12,2,180,20,
intermediate,musclegain,Поза ребенка,все тело,Начальный,Нет,https://media1.tenor.com/m/mn7vHmeSBVIAAAAC/namaste-meditate.gif,30,,2,180,20,
advanced,musclegain,Бег с высоким подниманием бедра на месте,все тело,Начальный,Нет,https://media1.tenor.com/m/i4lmd-dNA5sAAAAC/knees.gif,20,,3,180,10,
advanced,musclegain,Берпи с прыжком и отжиманием,все тело,Средний,Нет,https://media1.tenor.com/m/u2-VJiigKCkAAAAC/exercise-jump.gif,30,,3,180,10,
advanced,musclegain,Альпинист,все тело,Средний,Нет,https://media1.tenor.com/m/BZcd0o7ssi4AAAAC/гимнастика-разминка.gif,30,,3,180,10,
advanced,musclegain,Приседания с выпадом,Ноги,Продвинутый,Нет,https://media1.tenor.com/m/zWztKrQHNg0AAAAd/утренняязарядка-еленасилка.gif,,12 на каждую,3,180,10,
advanced,musclegain,Подъем на икроножных мышцах,Ноги,Средний,Нет,https://media1.tenor.com/m/zJk03-z7WI4AAAAd/calf-raise-workout.gif,,25,3,180,10,
advanced,musclegain,Выпады назад с прыжком,Ноги,Продвинутый,Нет,https://media1.tenor.com/m/xIcCauHJHgYAAAAC/afundo.gif,,12 на каждую,3,180,10,
advanced,musclegain,Отжимания,Плечи,Средний,Нет,https://media1.tenor.com/m/W83bPDWTkawAAAAC/pushup-body-weight-training.gif,,15,3,180,10,
advanced,musclegain,Обратные отжимания,Плечи,Средний,Другое,https://image.posta.com.tr/i/posta/75/750x0/6196106545d2a07ffcafe682.jpg,,15,3,180,10,
advanced,musclegain,Ножницы,Пресс,Средний,Нет,https://avatars.mds.yandex.net/get-pdb/1004345/1f718112-ebdf-430e-b54e-999e8dbf948f/orig,25,,3,180,10,
advanced,musclegain,Перекрестные скручивания,Пресс,Средний,Нет,https://avatars.mds.yandex.net/i?id=5f56969fb873aefee1ec8b8f189e2afd40dc3052-6450036-images-thumbs&n=13,,30,3,180,10,
advanced,musclegain,Планка с вытягиванием рук,Пресс,Средний,Нет,https://i.pinimg.com/originals/01/28/2b/01282b221aeab9061cd1bf56101deb98.gif,40,,3,180,10,
advanced,musclegain,Лодочка,Спина,Начальный,Нет,https://media1.tenor.com/m/BpWq8HxUxeAAAAAC/lumbaresms.gif,,15,3,180,10,
advanced,musclegain,Поза ребенка,все тело,Начальный,Нет,https://media1.tenor.com/m/mn7vHmeSBVIAAAAC/namaste-meditate.gif,30,,3,180,10,
beginner,weightloss,Легкое кардио: беговая дорожка на низкой скорости / элипсоид / велотренажер,Кардио,,gym,,720,,,,,
beginner,weightloss,Жим гантелей на наклонной скамьей,Грудь,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/mtRNUBI80B95NCgP-incline-dumbell-press.gif,,20,3,60,,3
beginner,weightloss,Отжимания от пола,Грудь,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/JJ1BWht6cbvATAYh-4-1-4.gif,,10,3,60,,
beginner,weightloss,Тяга верхнего блока,Спина,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/cZDHue1ycmFg4S6h-16-1-2.gif,,10,3,60,,25
beginner,weightloss,Тяга среднего блока,Спина,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/GWtvzgiwJBuDQmS0-16-1-1.gif,,10,3,60,,10
beginner,weightloss,Жим гантелей над головой сидя / стоя,Плечи,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/jWOCSF7Dw9SvYfMj-6-2-3.gif,,20,3,60,,3
beginner,weightloss,Поднятие гантелей на бицепс стоя,Бицепс,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/KB2R7fAERVGRjjKI-3-1-4.gif,,20,3,60,,3
beginner,weightloss,Приседания с выпрыгиваниями,Квадрицепсы,,gym,https://www.google.com/url?sa=i&url=https%3A%2F%2Fmobez.ru%2Ffoto%2Fprisedaniya-s-viypriygivaniem.html&psig=AOvVaw1Mm-9FwnSP3R3q5mE8OPZx&ust=1740145593986000&source=images&cd=vfe&opi=89978449&ved=0CBMQjRxqFwoTCOik9tix0osDFQAAAAAdAAAAABAJ,,10,3,60,,
beginner,weightloss,Экстензия на квадрицепсы,Квадрицепсы,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/ilTG6pXrcdT6yerW-11-1-5.gif,,10,3,60,,
beginner,weightloss,Тяга верхнего блока на трицепс вниз,Трицепс,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/Bu4UxH9bwkXjSVbD-1-4-2.gif,,10,3,60,,
beginner,weightloss,Экстензия на задние сидя / лежа,"задняя поверхность бедра, ягодицы",,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/4vM8OQhuGdBLU9b9-13-2-2sidia.gif,,10,3,60,,
beginner,weightloss,Подъемы корпуса на полу (с блином),Пресс,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/WLvmn2M38GCN3lYJ-7-1-3.gif,,10,3,60,,
beginner,weightloss,Русские скручивания с утяжелителем (мяч / гантель),Пресс,,gym,https://www.google.com/url?sa=i&url=https%3A%2F%2Fgoodlooker.ru%2Fuprazheniya-na-press.html&psig=AOvVaw2B0LHpeZs6JEDpeU_Yby1e&ust=1740146591571000&source=images&cd=vfe&opi=89978449&ved=0CBMQjRxqFwoTCOC9lK610osDFQAAAAAdAAAAABAE,,10,3,60,,
beginner,weightloss,Легкое кардио: беговая дорожка на низкой скорости / элипсоид / велотренажер,Кардио,,gym,,720,,,,,
intermediate,weightloss,Легкое кардио: беговая дорожка на низкой скорости / элипсоид / велотренажер,Кардио,,gym,,900,,,,,
intermediate,weightloss,Жим гантелей на наклонной скамьей,Грудь,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/mtRNUBI80B95NCgP-incline-dumbell-press.gif,,20,3,60,,5
intermediate,weightloss,Отжимания от пола,Грудь,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/JJ1BWht6cbvATAYh-4-1-4.gif,,15,3,60,,
intermediate,weightloss,Тяга верхнего блока,Спина,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/cZDHue1ycmFg4S6h-16-1-2.gif,,15,3,60,,35
intermediate,weightloss,Тяга среднего блока,Спина,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/GWtvzgiwJBuDQmS0-16-1-1.gif,,12,3,60,,20
intermediate,weightloss,Жим гантелей над головой сидя / стоя,Плечи,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/jWOCSF7Dw9SvYfMj-6-2-3.gif,,20,3,60,,5
intermediate,weightloss,Поднятие гантелей на бицепс стоя,Бицепс,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/KB2R7fAERVGRjjKI-3-1-4.gif,,20,3,60,,5
intermediate,weightloss,Приседания с выпрыгиваниями,Квадрицепсы,,gym,https://www.google.com/url?sa=i&url=https%3A%2F%2Fmobez.ru%2Ffoto%2Fprisedaniya-s-viypriygivaniem.html&psig=AOvVaw1Mm-9FwnSP3R3q5mE8OPZx&ust=1740145593986000&source=images&cd=vfe&opi=89978449&ved=0CBMQjRxqFwoTCOik9tix0osDFQAAAAAdAAAAABAJ,,15,3,60,,
intermediate,weightloss,Экстензия на квадрицепсы,Квадрицепсы,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/ilTG6pXrcdT6yerW-11-1-5.gif,,15,3,60,,
intermediate,weightloss,Тяга верхнего блока на трицепс вниз,Трицепс,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/Bu4UxH9bwkXjSVbD-1-4-2.gif,,15,3,60,,
intermediate,weightloss,Экстензия на задние сидя / лежа,"задняя поверхность бедра, ягодицы",,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/4vM8OQhuGdBLU9b9-13-2-2sidia.gif,,15,3,60,,
intermediate,weightloss,Подъемы корпуса на полу (с блином),Пресс,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/WLvmn2M38GCN3lYJ-7-1-3.gif,,15,3,60,,
intermediate,weightloss,Русские скручивания с утяжелителем (мяч / гантель),Пресс,,gym,https://www.google.com/url?sa=i&url=https%3A%2F%2Fgoodlooker.ru%2Fuprazheniya-na-press.html&psig=AOvVaw2B0LHpeZs6JEDpeU_Yby1e&ust=1740146591571000&source=images&cd=vfe&opi=89978449&ved=0CBMQjRxqFwoTCOC9lK610osDFQAAAAAdAAAAABAE,,15,3,60,,
intermediate,weightloss,Легкое кардио: беговая дорожка на низкой скорости / элипсоид / велотренажер,Кардио,,gym,,900,,,,,
advanced,weightloss,Легкое кардио: беговая дорожка на низкой скорости / элипсоид / велотренажер,Кардио,,gym,,1500,,,,,
advanced,weightloss,Жим гантелей на наклонной скамьей,Грудь,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/mtRNUBI80B95NCgP-incline-dumbell-press.gif,,20,3,60,,10
advanced,weightloss,Отжимания от пола,Грудь,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/JJ1BWht6cbvATAYh-4-1-4.gif,,25,3,60,,
advanced,weightloss,Тяга верхнего блока,Спина,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/cZDHue1ycmFg4S6h-16-1-2.gif,,15,3,60,,50
advanced,weightloss,Тяга среднего блока,Спина,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/GWtvzgiwJBuDQmS0-16-1-1.gif,,12,3,60,,40
advanced,weightloss,Жим гантелей над головой сидя / стоя,Плечи,,gym,https://archive.prosto.academy/uploads/images/gallery/2023-07/jWOCSF7Dw9SvYfMj-6-2-3.gif,,20,3,60,,10
